Data	Ora	Grupa	Echipa 1	Echipa 2
19.06.2025	18:00	GRUPA A	Kamikaze Clan 	Saponel 
19.06.2025	18:00	GRUPA A	Lean Vision 	Ciocălău Team 
19.06.2025	18:00	GRUPA A	Muligambia 	BPSP 
19.06.2025	18:45	GRUPA A	BPSP 	Saponel 
19.06.2025	18:45	GRUPA A	Muligambia 	Ciocălău Team 
19.06.2025	18:45	GRUPA A	Kamikaze Clan 	Lean Vision 
19.06.2025	19:30	GRUPA A	Lean Vision 	Saponel 
19.06.2025	19:30	GRUPA A	Kamikaze Clan 	Muligambia 
19.06.2025	19:30	GRUPA A	BPSP 	Ciocălău Team 
19.06.2025	20:15	GRUPA A	Ciocălău Team 	Saponel 
19.06.2025	20:15	GRUPA A	Kamikaze Clan 	BPSP 
19.06.2025	20:15	GRUPA A	Lean Vision 	Muligambia 
19.06.2025	21:00	GRUPA A	Muligambia 	Saponel 
19.06.2025	21:00	GRUPA A	Lean Vision 	BPSP 
19.06.2025	21:00	GRUPA A	Kamikaze Clan 	Ciocălău Team 
20.06.2025	18:00	GRUPA B	Ciocana Esports 	Xtreme Players
20.06.2025	18:00	GRUPA B	Legalize 	Barbosii 
20.06.2025	18:00	GRUPA B	LitEnergy 	Japon 
20.06.2025	18:45	GRUPA B	Japon 	Xtreme Players
20.06.2025	18:45	GRUPA B	LitEnergy 	Barbosii 
20.06.2025	18:45	GRUPA B	Ciocana Esports 	Legalize 
20.06.2025	19:30	GRUPA B	Legalize 	Xtreme Players
20.06.2025	19:30	GRUPA B	Ciocana Esports 	LitEnergy 
20.06.2025	19:30	GRUPA B	Japon 	Barbosii 
20.06.2025	20:15	GRUPA B	Barbosii 	Xtreme Players
20.06.2025	20:15	GRUPA B	Ciocana Esports 	Japon 
20.06.2025	20:15	GRUPA B	Legalize 	LitEnergy 
20.06.2025	21:00	GRUPA B	LitEnergy 	Xtreme Players
20.06.2025	21:00	GRUPA B	Legalize 	Japon 
20.06.2025	21:00	GRUPA B	Ciocana Esports 	Barbosii 
21.06.2025	18:00	GRUPA C	Brigada Meteor 	Bobb3rs 
21.06.2025	18:00	GRUPA C	Neo Egoist League 	BaitMD 
21.06.2025	18:00	GRUPA C	La Passion 	 Win Spirit 
21.06.2025	18:45	GRUPA C	 Win Spirit 	Bobb3rs 
21.06.2025	18:45	GRUPA C	La Passion 	BaitMD 
21.06.2025	18:45	GRUPA C	Brigada Meteor 	Neo Egoist League 
21.06.2025	19:30	GRUPA C	Neo Egoist League 	Bobb3rs 
21.06.2025	19:30	GRUPA C	Brigada Meteor 	La Passion 
21.06.2025	19:30	GRUPA C	 Win Spirit 	BaitMD 
21.06.2025	20:15	GRUPA C	BaitMD 	Bobb3rs 
21.06.2025	20:15	GRUPA C	Brigada Meteor 	 Win Spirit 
21.06.2025	20:15	GRUPA C	Neo Egoist League 	La Passion 
21.06.2025	21:00	GRUPA C	La Passion 	Bobb3rs 
21.06.2025	21:00	GRUPA C	Neo Egoist League 	 Win Spirit 
21.06.2025	21:00	GRUPA C	Brigada Meteor 	BaitMD 
25.06.2025	18:00	GRUPA D	Coli 	Rumina 
25.06.2025	18:00	GRUPA D	K9 Team 	Shashlik 
25.06.2025	18:00	GRUPA D	Into the Breach 	WenDeagle 
25.06.2025	18:45	GRUPA D	WenDeagle 	Rumina 
25.06.2025	18:45	GRUPA D	Into the Breach 	Shashlik 
25.06.2025	18:45	GRUPA D	Coli 	K9 Team 
25.06.2025	19:30	GRUPA D	K9 Team 	Rumina 
25.06.2025	19:30	GRUPA D	Coli 	Into the Breach 
